roll_no,Age,Gender,branch,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
137,21,Male,"Electronics And Communication",1,7,0,1,1
138,22,Male,"Electronics And Communication",0,6,0,0,0
139,21,Male,"Information Technology",2,7,0,0,1
140,22,Male,Civil,1,7,0,0,0
141,21,Female,"Electronics And Communication",0,7,0,0,0
142,21,Male,"Computer Science",0,7,0,0,1
143,22,Male,"Information Technology",1,8,1,1,1
144,22,Male,"Electronics And Communication",0,8,0,0,1
145,22,Male,"Computer Science",0,8,0,1,1
146,22,Female,"Computer Science",1,8,1,1,1
147,21,Male,Electrical,1,8,0,0,1
148,21,Male,"Information Technology",2,8,0,1,1
149,22,Male,"Information Technology",1,6,1,0,0
150,22,Male,Mechanical,1,8,1,0,1
151,21,Male,"Electronics And Communication",0,6,0,0,0
152,21,Female,"Computer Science",1,8,1,0,1
153,21,Male,Electrical,2,6,0,0,1
154,22,Male,"Computer Science",2,7,0,0,0
155,22,Male,"Computer Science",0,6,0,0,1
156,21,Male,Electrical,3,6,1,1,0
157,22,Male,"Information Technology",1,8,0,0,1
158,22,Male,"Electronics And Communication",1,6,0,0,0
159,21,Female,"Electronics And Communication",3,6,0,0,1
160,22,Male,Electrical,2,8,0,0,1
161,22,Male,"Information Technology",0,8,0,0,1
162,21,Male,"Computer Science",1,7,0,0,1
163,22,Male,"Electronics And Communication",2,8,0,0,1
164,21,Male,Civil,0,6,0,0,1
165,22,Female,"Computer Science",1,7,1,0,0
166,21,Male,"Electronics And Communication",0,8,0,0,1
167,22,Female,"Information Technology",1,8,0,0,1
168,21,Male,"Computer Science",2,6,0,0,1
169,21,Male,Civil,0,8,0,0,1
170,21,Male,"Information Technology",1,8,0,0,1
171,21,Male,"Information Technology",1,8,0,0,1
172,21,Male,"Electronics And Communication",0,8,0,0,1
173,21,Male,Electrical,1,7,0,0,1
174,21,Female,Electrical,1,8,0,0,1
175,21,Male,Mechanical,0,8,1,0,1
176,22,Male,Mechanical,0,8,1,1,1
177,21,Male,"Computer Science",2,9,0,1,1
178,22,Male,Civil,0,6,0,0,0
179,21,Male,Civil,0,6,0,0,0
180,22,Male,"Computer Science",0,8,0,0,1
181,22,Male,"Computer Science",1,7,0,0,1
182,22,Male,Electrical,0,7,0,1,0
183,21,Male,"Information Technology",1,6,0,0,0
184,21,Male,"Information Technology",0,8,0,0,1
185,21,Male,"Information Technology",1,6,0,1,1
186,21,Female,"Information Technology",1,8,0,0,1
187,21,Female,Mechanical,1,7,1,0,0
188,21,Male,"Information Technology",0,9,0,0,1
189,21,Male,Mechanical,1,6,1,0,0
190,22,Male,"Electronics And Communication",1,8,1,1,1
191,21,Male,"Information Technology",1,8,1,0,1
192,21,Male,"Computer Science",2,6,0,0,1
193,22,Male,Mechanical,0,6,1,1,1
194,21,Male,Civil,1,7,0,0,0
195,22,Male,Mechanical,0,9,0,0,1
196,22,Female,"Information Technology",0,7,0,0,1
197,22,Male,"Information Technology",2,6,0,0,1
198,22,Female,"Computer Science",1,6,1,0,1
199,22,Male,"Information Technology",2,7,0,0,0
200,21,Male,Electrical,0,6,1,0,0
201,22,Male,"Computer Science",1,9,0,0,1
202,21,Male,Mechanical,1,6,1,1,0
203,21,Male,"Computer Science",3,8,0,0,1
204,22,Male,"Information Technology",1,7,1,1,0
205,21,Male,"Information Technology",0,8,0,0,1
206,22,Male,"Computer Science",0,6,0,0,1
207,21,Male,"Electronics And Communication",0,6,0,0,0
208,22,Male,"Computer Science",2,9,0,0,1
209,21,Male,"Computer Science",0,8,0,1,1
210,22,Male,"Computer Science",0,8,0,1,1
211,21,Male,Mechanical,0,8,1,1,1
212,22,Male,"Electronics And Communication",1,7,0,1,0
213,21,Female,"Information Technology",1,8,0,1,1
214,21,Male,"Electronics And Communication",1,7,0,0,0
215,21,Female,"Computer Science",1,8,1,0,1
216,22,Male,Electrical,1,8,0,0,1
217,22,Male,Mechanical,0,6,1,0,0
218,22,Male,"Information Technology",0,9,0,0,1
219,21,Male,Civil,0,7,0,0,0
220,22,Male,"Computer Science",3,9,0,0,1
221,21,Female,Civil,1,7,1,0,0
222,21,Female,"Computer Science",0,8,1,1,1
223,21,Male,"Information Technology",0,8,0,0,1
224,21,Male,"Computer Science",1,7,0,0,0
225,22,Male,"Information Technology",1,6,0,0,1
226,22,Male,"Information Technology",1,9,0,0,1
227,22,Male,Electrical,1,7,0,0,0
228,21,Male,"Electronics And Communication",0,8,0,1,1
229,21,Male,Civil,0,8,0,0,1
230,21,Male,"Information Technology",2,6,1,0,1
231,21,Male,Mechanical,0,9,1,0,1
232,21,Male,"Information Technology",0,6,0,1,1
233,22,Male,Mechanical,0,8,1,1,1
234,22,Female,Mechanical,1,7,1,0,0
235,21,Female,"Electronics And Communication",2,7,0,0,1
236,21,Female,"Information Technology",1,7,0,1,1
237,21,Male,"Information Technology",1,8,1,0,1
238,22,Female,Mechanical,1,8,1,0,1
239,22,Female,"Information Technology",1,6,0,0,1
240,22,Male,Electrical,0,6,0,0,0
241,22,Male,"Information Technology",0,8,0,0,1
242,21,Male,Mechanical,0,6,1,1,1
243,21,Male,Mechanical,2,6,1,0,1
244,21,Male,"Computer Science",1,8,0,0,1
245,21,Male,Civil,0,7,1,0,1
246,22,Male,Mechanical,1,6,1,0,0
247,22,Male,Mechanical,0,7,1,0,0
248,21,Male,Civil,0,9,0,0,1
249,22,Male,"Electronics And Communication",0,8,0,0,1
250,21,Male,"Electronics And Communication",1,7,0,0,1
251,22,Male,Civil,0,6,1,0,0
252,21,Male,"Computer Science",1,9,0,0,1
253,21,Male,"Electronics And Communication",1,6,1,1,1
254,22,Male,"Information Technology",0,6,0,1,1
255,22,Male,"Information Technology",0,6,0,0,1
256,22,Male,Mechanical,0,8,1,0,1
257,21,Male,Mechanical,2,6,1,0,0
258,22,Male,Civil,1,8,0,0,1
259,21,Male,"Information Technology",0,8,0,0,1
260,22,Male,"Computer Science",0,8,0,0,1
261,21,Male,Electrical,0,7,0,0,0
262,21,Male,Mechanical,0,8,1,0,1
263,21,Male,Civil,0,7,0,0,0
264,22,Male,"Electronics And Communication",1,7,0,0,0
265,21,Male,"Electronics And Communication",2,7,0,0,1
266,22,Male,"Information Technology",0,7,0,0,0
267,22,Female,"Information Technology",1,8,0,0,1
268,21,Male,"Computer Science",0,8,0,0,1
269,22,Female,Electrical,1,6,0,1,0
270,21,Male,"Computer Science",0,6,0,0,0
271,21,Male,Mechanical,0,7,1,0,0
272,22,Male,"Electronics And Communication",0,7,0,0,0
273,22,Male,"Information Technology",1,7,1,0,0
274,22,Male,"Computer Science",0,7,0,0,0
275,22,Male,"Electronics And Communication",1,7,0,0,0
276,22,Male,"Computer Science",0,7,0,1,0
277,22,Male,Civil,1,6,1,0,0
278,21,Male,"Information Technology",1,8,0,0,1
279,22,Female,Civil,1,6,1,0,0
280,22,Female,"Computer Science",2,6,1,1,0
281,22,Male,Electrical,1,7,0,0,0
282,22,Male,Mechanical,1,7,0,0,0
283,22,Male,"Electronics And Communication",0,7,0,0,1
284,22,Male,Mechanical,0,6,1,0,1
285,21,Male,Civil,1,8,0,1,1
286,21,Male,Civil,0,8,0,0,1
287,21,Male,"Electronics And Communication",1,8,1,1,1
288,22,Male,"Information Technology",1,6,0,0,1
289,21,Male,Civil,0,8,0,0,1
290,22,Male,"Computer Science",0,6,0,0,0
291,21,Male,Electrical,1,6,0,0,1
292,22,Male,"Information Technology",0,7,0,0,0
293,22,Male,"Computer Science",2,6,0,0,1
294,22,Female,"Information Technology",2,7,0,0,0
295,22,Male,"Computer Science",2,7,0,0,1
296,21,Male,"Electronics And Communication",1,6,0,0,0
297,22,Male,Mechanical,1,7,1,1,0
298,22,Male,"Electronics And Communication",1,7,1,1,1
299,22,Male,"Electronics And Communication",0,6,0,0,0
300,21,Male,Civil,2,6,1,0,1
301,22,Male,"Computer Science",2,7,0,0,0
302,21,Male,"Information Technology",2,7,0,0,1
303,22,Male,"Computer Science",1,8,0,0,1
304,22,Male,"Electronics And Communication",0,6,0,0,1
305,22,Female,Electrical,1,7,1,1,0
306,22,Male,Civil,0,6,0,0,0
307,21,Male,"Computer Science",2,7,0,0,0
308,21,Male,"Computer Science",0,7,0,0,1
309,21,Male,Civil,1,6,0,0,0
310,22,Male,Civil,1,6,0,0,1
311,22,Male,"Information Technology",0,8,0,0,1
312,22,Male,Mechanical,0,7,1,1,0
313,22,Male,Civil,0,6,0,0,0
314,21,Male,"Electronics And Communication",0,7,0,0,0
315,22,Female,"Information Technology",0,7,0,0,0
316,22,Male,Mechanical,2,7,1,0,1
317,22,Male,Electrical,0,7,0,0,0
318,21,Male,"Information Technology",0,7,0,0,1
319,21,Male,Mechanical,0,7,0,0,0
320,22,Male,Mechanical,0,7,1,0,1
321,21,Male,"Computer Science",1,7,0,0,0
322,22,Male,"Electronics And Communication",1,8,0,0,1
323,23,Male,"Computer Science",0,7,0,0,1
324,21,Male,"Computer Science",0,7,0,0,0
325,22,Female,"Information Technology",0,6,0,0,0
326,22,Male,"Computer Science",0,6,0,1,0
327,23,Male,Civil,0,6,0,0,1
328,22,Male,Electrical,2,8,0,1,1
329,23,Male,Mechanical,1,5,0,0,0
330,21,Male,Electrical,0,8,0,0,1
331,22,Male,"Information Technology",0,6,0,1,1
332,24,Male,"Information Technology",2,6,0,0,1
333,21,Male,Mechanical,0,7,1,0,0
334,22,Female,"Computer Science",1,6,1,0,1
335,23,Male,Electrical,0,5,1,0,0
336,22,Male,"Computer Science",1,7,0,0,1
337,21,Male,"Computer Science",1,6,0,0,0
338,21,Male,Electrical,0,8,0,0,1
339,21,Male,Electrical,0,6,0,0,1
340,22,Male,"Computer Science",0,7,0,0,0
341,23,Male,"Information Technology",1,6,0,0,0
342,21,Male,"Computer Science",1,7,0,0,1
343,22,Male,Civil,0,6,0,0,0
344,22,Female,Civil,1,8,0,0,1
345,24,Female,"Information Technology",0,6,0,0,1
346,22,Female,"Information Technology",1,7,0,0,0
347,24,Male,"Information Technology",1,7,0,0,1
348,21,Female,"Information Technology",2,8,0,1,1
349,24,Male,Civil,1,7,0,1,1
350,22,Male,"Information Technology",2,7,0,1,1
351,21,Male,"Computer Science",1,8,0,0,1
352,23,Male,"Information Technology",1,7,0,0,1
353,22,Female,"Computer Science",1,8,1,0,1
354,22,Male,"Information Technology",0,8,0,0,1
355,22,Male,Civil,0,6,0,0,1
356,21,Male,"Information Technology",3,8,1,0,1
357,21,Female,"Electronics And Communication",0,6,0,0,0
358,23,Male,"Information Technology",1,6,0,0,1
359,22,Female,"Electronics And Communication",3,8,1,1,1
360,22,Male,Civil,2,6,1,0,1
361,24,Male,"Electronics And Communication",1,6,0,1,1
362,21,Male,"Electronics And Communication",2,8,0,0,1
363,22,Male,Mechanical,0,6,1,0,1
364,24,Male,Electrical,0,7,0,0,0
365,21,Male,"Information Technology",0,7,0,1,1
366,21,Male,Mechanical,0,7,1,0,0
367,22,Male,Civil,0,7,0,0,0
368,23,Male,"Information Technology",1,6,0,0,0
369,21,Male,Electrical,0,7,0,0,0
370,22,Female,"Information Technology",0,6,0,0,1
371,24,Male,"Computer Science",0,6,0,0,1
372,22,Male,Mechanical,0,8,1,0,1
373,22,Male,Electrical,1,8,0,0,1
374,23,Male,Electrical,0,6,0,0,0
375,21,Male,Civil,0,6,0,0,0
376,23,Male,"Information Technology",1,7,1,0,1
377,21,Male,"Computer Science",1,8,0,0,1
378,22,Male,"Information Technology",0,8,0,0,1
379,23,Male,"Information Technology",1,7,1,0,1
380,21,Male,"Information Technology",0,7,0,0,0
381,24,Male,"Information Technology",3,5,0,1,1
382,21,Male,Mechanical,2,6,1,0,1
383,23,Male,Mechanical,0,6,1,0,1
384,21,Female,"Computer Science",0,6,1,0,0
385,22,Male,Mechanical,0,8,1,0,1
386,23,Female,"Information Technology",2,6,0,0,1
387,21,Male,"Computer Science",1,6,0,0,1
388,21,Female,"Computer Science",1,8,1,0,1
389,23,Male,"Electronics And Communication",1,7,0,0,0
390,21,Male,"Computer Science",1,7,0,0,0
391,21,Male,"Computer Science",0,8,0,0,1
392,22,Male,"Computer Science",1,8,0,0,1
393,21,Male,Mechanical,0,7,0,1,1
394,23,Male,"Information Technology",1,5,0,0,1
395,22,Male,Electrical,0,8,0,1,1
396,21,Male,"Information Technology",2,8,0,0,1
397,21,Male,"Computer Science",2,8,0,0,1
398,23,Male,"Information Technology",1,7,0,0,1
399,21,Male,Civil,1,8,0,0,1
400,22,Male,"Information Technology",1,7,0,0,0
401,22,Male,Civil,0,8,1,0,1
402,23,Male,Mechanical,2,7,1,0,1
403,22,Female,"Computer Science",1,7,1,0,0
404,22,Female,Civil,1,6,0,0,0
405,21,Male,Mechanical,1,6,1,0,0
406,24,Male,"Information Technology",1,5,0,0,0
407,21,Male,"Computer Science",0,8,0,0,1
408,22,Male,"Computer Science",0,8,0,0,1
409,24,Male,"Information Technology",1,7,0,0,0
410,21,Male,"Computer Science",1,8,0,0,1
411,24,Male,"Computer Science",2,7,0,0,1
412,21,Male,"Computer Science",0,8,0,1,1
413,21,Male,"Electronics And Communication",0,6,0,0,0
414,24,Male,"Electronics And Communication",0,5,0,0,0
415,21,Male,Mechanical,2,6,1,0,1
416,22,Male,"Electronics And Communication",1,6,1,1,0
417,21,Male,Electrical,0,7,0,0,0
418,24,Male,"Information Technology",1,7,0,0,1
419,21,Male,Electrical,1,8,0,0,1
420,22,Male,"Information Technology",0,8,0,0,1
421,21,Female,"Information Technology",0,7,0,0,0
422,23,Male,Mechanical,0,6,1,1,1
423,25,Male,"Computer Science",0,7,0,0,0
424,21,Male,"Computer Science",1,6,0,0,0
425,21,Female,"Computer Science",1,8,1,0,1
426,23,Male,"Computer Science",0,6,0,0,0
427,26,Male,"Electronics And Communication",2,6,0,0,1
428,21,Male,"Computer Science",1,8,0,0,1
429,24,Female,Electrical,1,8,0,1,1
430,21,Male,"Electronics And Communication",1,6,0,0,0
431,22,Female,Electrical,0,6,0,0,1
432,25,Male,"Computer Science",2,6,0,0,1
433,22,Male,Mechanical,0,8,1,0,1
434,22,Male,"Electronics And Communication",0,7,0,0,0
435,24,Female,"Electronics And Communication",0,6,0,0,1
436,22,Male,"Electronics And Communication",1,8,0,0,1
437,21,Male,"Information Technology",0,8,0,0,1
438,25,Male,"Computer Science",1,8,0,0,1
439,23,Female,Mechanical,1,7,1,0,0
440,22,Male,Mechanical,0,8,1,1,1
441,21,Male,"Computer Science",1,6,0,0,0
442,22,Male,Mechanical,0,7,1,1,0
443,24,Male,"Computer Science",1,6,0,0,1
444,21,Male,Civil,0,7,0,0,0
445,21,Male,"Electronics And Communication",0,8,0,0,1
446,23,Male,Mechanical,1,6,1,1,1
447,22,Male,"Electronics And Communication",1,7,0,1,0
448,21,Male,"Information Technology",1,6,0,0,0
449,24,Male,"Computer Science",0,6,0,0,1
450,22,Male,Electrical,1,7,0,0,0
451,23,Male,"Electronics And Communication",0,9,0,0,1
452,24,Male,Mechanical,0,6,0,0,1
453,22,Male,Electrical,0,8,0,0,1
454,24,Male,Electrical,1,7,0,0,1
455,24,Male,"Information Technology",0,5,0,0,1
456,21,Male,"Information Technology",1,8,0,0,1
457,25,Male,Civil,0,9,1,0,1
458,22,Male,Mechanical,2,7,1,0,0
459,21,Male,Civil,0,6,1,1,0
460,22,Female,"Computer Science",2,7,1,0,1
461,22,Male,Mechanical,1,6,1,0,0
462,22,Male,"Electronics And Communication",0,7,0,0,0
463,22,Male,"Electronics And Communication",1,7,0,0,0
464,23,Male,Electrical,0,5,0,0,0
465,22,Male,Mechanical,1,7,1,0,0
466,25,Male,"Computer Science",1,8,0,0,1
467,24,Male,Electrical,0,5,1,0,0
468,22,Female,Mechanical,1,8,0,0,1
469,26,Female,"Information Technology",1,6,0,0,1
470,21,Male,"Computer Science",0,7,0,1,0
471,23,Male,"Computer Science",1,5,0,0,1
472,26,Male,"Information Technology",1,6,1,0,1
473,21,Male,"Electronics And Communication",0,8,0,0,1
474,23,Male,"Electronics And Communication",0,7,0,0,1
475,25,Male,Electrical,0,8,0,0,1
476,21,Male,"Electronics And Communication",1,7,0,1,1
477,21,Male,Mechanical,1,7,0,0,0
478,24,Male,"Information Technology",3,7,0,0,1
479,26,Male,"Information Technology",0,8,0,0,1
480,22,Male,"Information Technology",0,7,0,0,0
481,24,Male,"Computer Science",2,5,0,0,1
482,24,Male,"Information Technology",0,8,0,0,1
483,21,Male,"Computer Science",2,7,0,0,1
484,24,Male,"Computer Science",2,5,0,0,1
485,25,Male,"Computer Science",1,8,0,0,1
486,23,Male,Civil,0,7,1,0,1
487,23,Male,"Computer Science",1,6,0,0,1
488,22,Male,"Information Technology",0,8,0,0,1
489,24,Male,"Information Technology",1,6,0,0,1
490,22,Male,Civil,1,8,0,0,1
491,21,Male,"Information Technology",0,8,0,0,1
492,23,Male,Civil,0,7,0,0,0
493,23,Male,Mechanical,0,5,1,1,0
494,22,Male,"Electronics And Communication",0,8,0,0,1
495,22,Female,Electrical,1,8,0,1,1
496,24,Male,"Electronics And Communication",1,9,0,0,1
497,23,Male,Electrical,0,6,0,0,0
498,22,Male,Mechanical,0,7,1,0,0
499,22,Male,"Information Technology",1,6,0,0,1
500,24,Male,"Computer Science",1,7,0,0,1
501,22,Male,"Information Technology",1,7,0,0,0
502,25,Male,"Computer Science",0,8,0,0,1
503,23,Male,Electrical,0,5,0,0,0
504,22,Male,"Computer Science",1,6,0,0,0
505,24,Male,"Computer Science",0,7,0,1,1
506,24,Female,"Information Technology",0,5,0,0,0
507,21,Male,"Computer Science",1,6,0,0,0
508,24,Male,Mechanical,2,8,1,0,1
509,23,Male,"Computer Science",1,5,0,0,1
510,23,Male,Mechanical,1,8,1,0,1
511,22,Female,Civil,1,6,0,0,0
512,23,Female,"Electronics And Communication",2,6,0,0,0
513,22,Male,Mechanical,0,8,1,1,1
514,26,Male,"Information Technology",1,8,0,0,1
515,21,Female,Civil,1,8,0,0,1
516,21,Male,Mechanical,0,6,1,0,1
517,23,Female,Civil,1,7,0,1,0
518,24,Male,Civil,0,7,0,0,1
519,22,Female,"Computer Science",1,7,1,0,0
520,21,Male,"Electronics And Communication",1,8,0,0,1
521,26,Male,"Computer Science",1,9,0,0,1
522,24,Male,"Electronics And Communication",2,6,0,0,1
523,21,Male,Mechanical,1,8,1,0,1
524,21,Male,Civil,0,7,0,0,0
525,26,Male,Electrical,2,8,1,0,1
526,23,Male,"Information Technology",0,5,0,0,0
527,30,Male,"Computer Science",1,8,0,0,1
528,26,Male,Electrical,0,9,0,1,1
529,22,Male,"Information Technology",0,8,0,1,1
530,26,Male,Civil,0,6,0,0,1
531,22,Female,"Computer Science",1,8,1,0,1
532,21,Male,"Information Technology",1,7,0,1,0
533,24,Male,Mechanical,0,9,0,1,1
534,22,Female,"Information Technology",1,7,0,0,1
535,22,Female,"Electronics And Communication",0,7,0,0,0
536,24,Male,"Computer Science",1,7,0,0,1
537,24,Male,"Computer Science",2,6,0,0,1
538,21,Male,Mechanical,1,6,1,0,0
539,22,Male,"Information Technology",1,8,1,0,1
540,23,Male,Electrical,0,8,0,0,1
541,23,Male,"Computer Science",1,6,0,0,0
542,21,Male,Mechanical,0,7,1,0,1
543,22,Male,Civil,1,7,0,0,0
544,26,Female,Mechanical,1,7,1,0,0
545,24,Male,"Computer Science",0,7,0,1,1
546,21,Male,"Electronics And Communication",0,8,0,0,1
547,22,Male,Electrical,1,6,1,1,0
548,23,Male,"Information Technology",1,7,0,0,0
549,22,Male,"Electronics And Communication",0,7,0,0,1
550,22,Male,"Computer Science",0,6,0,0,1
551,21,Female,Civil,1,7,0,1,0
552,24,Male,Mechanical,0,8,0,0,1
553,22,Male,Mechanical,0,5,1,0,0
554,22,Male,Electrical,0,6,0,1,0
555,22,Male,"Computer Science",1,5,0,0,0
556,21,Male,"Information Technology",2,8,0,0,1
557,26,Male,Civil,0,9,0,0,1
558,21,Male,"Computer Science",1,6,0,0,1
559,22,Male,Electrical,0,8,0,0,1
560,25,Male,Electrical,0,7,0,0,0
561,21,Male,"Computer Science",0,6,0,0,0
562,21,Male,Civil,3,6,1,0,1
563,21,Male,"Electronics And Communication",1,7,0,0,0
564,23,Male,Mechanical,0,9,1,1,1
565,22,Male,Electrical,1,7,0,0,0
566,21,Male,"Computer Science",0,6,0,1,1
567,24,Female,"Computer Science",1,8,1,0,1
568,21,Male,"Information Technology",0,8,0,1,1
569,21,Male,Electrical,0,5,0,0,0
570,23,Male,"Information Technology",1,8,0,0,1
571,21,Male,"Computer Science",1,7,0,0,0
572,21,Female,"Information Technology",1,6,0,0,0
573,23,Male,Mechanical,0,7,1,0,0
574,22,Male,Mechanical,0,7,1,0,1
575,22,Male,Electrical,1,7,0,1,0
576,22,Male,"Computer Science",1,5,0,0,0
577,22,Male,"Electronics And Communication",0,7,0,0,0
578,26,Male,"Computer Science",3,7,0,0,1
579,22,Male,"Computer Science",1,5,0,0,0
580,21,Male,"Computer Science",1,8,0,0,1
581,24,Male,"Information Technology",1,6,0,0,1
582,21,Male,Civil,1,6,0,0,1
583,22,Male,"Electronics And Communication",0,8,0,0,1
584,26,Male,Electrical,1,8,0,0,1
585,21,Female,"Information Technology",2,5,0,0,0
586,23,Male,"Computer Science",1,6,0,0,1
587,21,Male,"Information Technology",1,6,0,0,1
